script,Boat.CrewXPos,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.TWS_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
modified_Script172.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,876,0.5,0,0,0
modified_Script173.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,876,1.5,0,0,0
modified_Script174.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,876,2.5,0,0,0
modified_Script175.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,876,0.5,0,0,0
modified_Script176.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,876,1.5,0,0,0
modified_Script177.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,876,2.5,0,0,0
modified_Script178.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,876,0.5,0,0,0
modified_Script179.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,876,1.5,0,0,0
modified_Script18.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,896,2.5,0,0,0
modified_Script180.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,876,2.5,0,0,0
modified_Script181.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,811,0.5,0,0,0
modified_Script182.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,811,1.5,0,0,0
modified_Script183.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,811,2.5,0,0,0
modified_Script184.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,811,0.5,0,0,0
modified_Script185.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,811,1.5,0,0,0
modified_Script186.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,811,2.5,0,0,0
modified_Script187.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,811,0.5,0,0,0
modified_Script188.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,811,1.5,0,0,0
modified_Script189.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,811,2.5,0,0,0
modified_Script19.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,896,0.5,0,0,0
modified_Script190.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,811,0.5,0,0,0
modified_Script191.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,811,1.5,0,0,0
modified_Script192.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,811,2.5,0,0,0
modified_Script193.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,811,0.5,0,0,0
modified_Script194.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,811,1.5,0,0,0
modified_Script195.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,811,2.5,0,0,0
modified_Script196.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,811,0.5,0,0,0
modified_Script197.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,811,1.5,0,0,0
modified_Script198.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,811,2.5,0,0,0
modified_Script199.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,811,0.5,0,0,0
modified_Script2.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,896,1.5,0,0,0
modified_Script20.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,896,1.5,0,0,0
modified_Script200.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,811,1.5,0,0,0
modified_Script201.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,811,2.5,0,0,0
modified_Script202.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,811,0.5,0,0,0
modified_Script203.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,811,1.5,0,0,0
modified_Script204.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,811,2.5,0,0,0
modified_Script205.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,811,0.5,0,0,0
modified_Script206.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,811,1.5,0,0,0
modified_Script207.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,811,2.5,0,0,0
modified_Script208.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,811,0.5,0,0,0
modified_Script209.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,811,1.5,0,0,0
modified_Script21.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,896,2.5,0,0,0
modified_Script210.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,811,2.5,0,0,0
modified_Script211.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,811,0.5,0,0,0
modified_Script212.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,811,1.5,0,0,0
modified_Script213.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,811,2.5,0,0,0
modified_Script214.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,811,0.5,0,0,0
modified_Script215.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,811,1.5,0,0,0
modified_Script216.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,811,2.5,0,0,0
modified_Script217.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,811,0.5,0,0,0
modified_Script218.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,811,1.5,0,0,0
modified_Script219.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,811,2.5,0,0,0
modified_Script22.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,896,0.5,0,0,0
modified_Script220.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,811,0.5,0,0,0
modified_Script221.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,811,1.5,0,0,0
modified_Script222.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,811,2.5,0,0,0
modified_Script223.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,811,0.5,0,0,0
modified_Script224.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,811,1.5,0,0,0
modified_Script225.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,811,2.5,0,0,0
modified_Script226.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,811,0.5,0,0,0
modified_Script227.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,811,1.5,0,0,0
modified_Script228.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,811,2.5,0,0,0
modified_Script229.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,811,0.5,0,0,0
